date,stato,codice_regione,denominazione_regione,lat,long,h,icu,h+icu,q,p,np,d,dc,T,S,code,region,P,Tper100kP,Sper100kP,h+icuper100kP,icuper100kP,hper100kP,dcper100kP
2020-02-25 18:00:00,b'ITA',15,b'Campania',40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,10,15,Campania,5801692,0.0,0.17236351050693488,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',8,b'Emilia Romagna',44.49436681,11.3417208,15,2,17,9,26,8,0,0,26,391,8,Emilia-Romagna,4459477,0.5830280097867978,8.767844301024537,0.38121062178367554,0.0448483084451383,0.3363623133385372,0.0
2020-02-25 18:00:00,b'ITA',6,b'Friuli Venezia Giulia',45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,89,6,Friuli Venzia Giulia,1215220,0.0,7.323776764701042,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',12,b'Lazio',41.89277044,12.48366722,1,1,2,0,2,0,1,0,3,124,12,Lazio,5879082,0.051028374838112484,2.1091728266419825,0.03401891655874165,0.017009458279370827,0.017009458279370827,0.0
2020-02-25 18:00:00,b'ITA',7,b'Liguria',44.41149315,8.9326992,1,0,1,0,1,1,0,0,1,39,7,Liguria,1550640,0.06448950110921942,2.515090543259557,0.06448950110921942,0.0,0.06448950110921942,0.0
2020-02-25 18:00:00,b'ITA',3,b'Lombardia',45.46679409,9.190347404,79,25,104,127,231,65,0,9,240,3700,3,Lombardia,10060574,2.3855497708182454,36.77722563344795,1.0337382340212398,0.24849476779356724,0.7852434662276726,0.08945811640568421
2020-02-25 18:00:00,b'ITA',11,b'Marche',43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,21,11,Marche,1525271,0.0,1.3768045153943134,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',14,b'Molise',41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,14,Molise,305617,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',1,b'Piemonte',45.0732745,7.680687483,2,0,2,1,3,0,0,0,3,141,1,Piemonte,4356406,0.0688641049525687,3.236612932770729,0.04590940330171247,0.0,0.04590940330171247,0.0
2020-02-25 18:00:00,b'ITA',16,b'Puglia',41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,16,Puglia,4029053,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',20,b'Sardegna',39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,20,Sardegna,1639591,0.0,0.06099082027164091,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',19,b'Sicilia',38.11569725,13.3623567,1,0,2,2,3,3,0,0,3,5,19,Sicilia,4999891,0.06000130802851503,0.10000218004752504,0.040000872019010016,0.0,0.020000436009505008,0.0
2020-02-25 18:00:00,b'ITA',9,b'Toscana',43.76923077,11.25588885,2,0,2,0,2,2,0,0,2,296,9,Toscana,3729641,0.053624464124026945,7.936420690355988,0.053624464124026945,0.0,0.053624464124026945,0.0
2020-02-25 18:00:00,b'ITA',104,b'P.A. Trento',46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,3,104,P.A. Trento,541380,0.0,0.554139421478444,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',10,b'Umbria',43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8,10,Umbria,882015,0.0,0.9070140530489844,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',2,"b""Valle d'Aosta""",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,7,2,Valle d'Aosta,125666,0.0,5.570321327964605,0.0,0.0,0.0,0.0
2020-02-25 18:00:00,b'ITA',5,b'Veneto',45.43490485,12.33845213,12,7,19,23,42,10,0,1,43,3780,5,Veneto,4905854,0.8765038666050804,77.05080501784195,0.38729240617433786,0.14268667595896656,0.2446057302153713,0.02038381085128094
2020-02-26 18:00:00,b'ITA',13,b'Abruzzo',42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,13,13,Abruzzo,1311580,0.0,0.9911709541164092,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',17,b'Basilicata',40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,17,Basilicata,562869,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',4,b'P.A. Bolzano',46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,1,4,P.A. Bolzano,533050,0.18759966232060782,0.18759966232060782,0.18759966232060782,0.0,0.18759966232060782,0.0
2020-02-26 18:00:00,b'ITA',18,b'Calabria',38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,3,18,Calabria,1947131,0.0,0.1540728384479524,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',15,b'Campania',40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,10,15,Campania,5801692,0.0,0.17236351050693488,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',8,b'Emilia Romagna',44.49436681,11.3417208,20,3,23,23,46,20,0,1,47,577,8,Emilia-Romagna,4459477,1.05393524846075,12.938736986422398,0.5157555471190904,0.06727246266770744,0.448483084451383,0.02242415422256915
2020-02-26 18:00:00,b'ITA',6,b'Friuli Venezia Giulia',45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,114,6,Friuli Venzia Giulia,1215220,0.0,9.381017428942908,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',12,b'Lazio',41.89277044,12.48366722,0,0,0,0,0,-2,3,0,3,124,12,Lazio,5879082,0.051028374838112484,2.1091728266419825,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',7,b'Liguria',44.41149315,8.9326992,6,0,6,5,11,10,0,0,11,66,7,Liguria,1550640,0.7093845122014136,4.256307073208482,0.38693700665531655,0.0,0.38693700665531655,0.0
2020-02-26 18:00:00,b'ITA',3,b'Lombardia',45.46679409,9.190347404,79,25,104,145,249,18,0,9,258,3208,3,Lombardia,10060574,2.564466003629614,31.88684860327055,1.0337382340212398,0.24849476779356724,0.7852434662276726,0.08945811640568421
2020-02-26 18:00:00,b'ITA',11,b'Marche',43.61675973,13.5188753,1,0,1,0,1,1,0,0,1,28,11,Marche,1525271,0.06556211978068159,1.835739353859085,0.06556211978068159,0.0,0.06556211978068159,0.0
2020-02-26 18:00:00,b'ITA',14,b'Molise',41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,14,Molise,305617,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',1,b'Piemonte',45.0732745,7.680687483,2,0,2,1,3,0,0,0,3,156,1,Piemonte,4356406,0.0688641049525687,3.5809334575335723,0.04590940330171247,0.0,0.04590940330171247,0.0
2020-02-26 18:00:00,b'ITA',16,b'Puglia',41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,16,Puglia,4029053,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',20,b'Sardegna',39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,20,Sardegna,1639591,0.0,0.06099082027164091,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',19,b'Sicilia',38.11569725,13.3623567,1,0,1,2,3,0,0,0,3,5,19,Sicilia,4999891,0.06000130802851503,0.10000218004752504,0.020000436009505008,0.0,0.020000436009505008,0.0
2020-02-26 18:00:00,b'ITA',9,b'Toscana',43.76923077,11.25588885,2,0,2,0,2,0,0,0,2,363,9,Toscana,3729641,0.053624464124026945,9.732840238510892,0.053624464124026945,0.0,0.053624464124026945,0.0
